date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:56:29	306/306	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202016%2011:56:29%20GMT	http://tharit.tothong.com/hom	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/hom.23.delayed	(from http://tharit.tothong.com/)
07:56:30	14540/14540	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202014%2023:17:18%20GMT	http://tharit.tothong.com/hom/	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/hom/index.html	(from http://tharit.tothong.com/)
07:56:37	121291/121291	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202014%2023:46:09%20GMT	http://tharit.tothong.com/assets/img/t_sdub.png	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/t_sdub.png	(from http://tharit.tothong.com/)
07:56:38	315/315	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202016%2011:56:38%20GMT	http://tharit.tothong.com/khwanpattana	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/khwanpattana.25.delayed	(from http://tharit.tothong.com/)
07:56:38	14789/14789	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202014%2023:17:22%20GMT	http://tharit.tothong.com/khwanpattana/	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/khwanpattana/index.html	(from http://tharit.tothong.com/)
07:56:45	113845/113845	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202014%2023:46:13%20GMT	http://tharit.tothong.com/assets/img/t_soi.png	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/t_soi.png	(from http://tharit.tothong.com/)
07:56:53	43262/43262	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202014%2023:20:09%20GMT	http://tharit.tothong.com/assets/img/c_map.jpg	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/c_map.jpg	(from http://tharit.tothong.com/)
07:56:54	252753/252753	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202014%2023:46:18%20GMT	http://tharit.tothong.com/assets/img/t_typhoonflux.png	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/t_typhoonflux.png	(from http://tharit.tothong.com/)
07:56:56	29110/29110	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2023%20Feb%202014%2023:17:38%20GMT	http://tharit.tothong.com/dist/js/bootstrap.min.js	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/dist/js/bootstrap.min.js	(from http://tharit.tothong.com/)
07:56:59	16379/16379	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2023%20Feb%202014%2023:47:55%20GMT	http://tharit.tothong.com/assets/js/docs.min.js	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/js/docs.min.js	(from http://tharit.tothong.com/)
